index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id,LOA,GT,DWT,pax,Berths,Cabins ,Crew,Breadth
135,7/20/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-07-20 06:03:07-08:00,2023-07-20 14:58:30-08:00,14.602,299.33,2023-07-21 05:34:37-08:00,18.38484848,23.7,NORWEGIAN_ENCORE_0086,333.44,169116,13332,,,,,45
136,7/27/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-07-27 06:11:31-08:00,2023-07-27 15:00:41-08:00,13.806,300.5,2023-07-28 04:49:03-08:00,19.72398287,23.9,NORWEGIAN_ENCORE_0094,333.44,169116,13332,,,,,45
137,8/3/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-08-03 06:06:10-08:00,2023-08-03 15:16:22-08:00,14.349,297.39,2023-08-04 05:37:17-08:00,18.91787234,24,NORWEGIAN_ENCORE_0104,333.44,169116,13332,,,,,45
138,8/10/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-08-10 06:06:02-08:00,2023-08-10 14:52:52-08:00,14.927,303.14,2023-08-11 05:48:28-08:00,18.27608286,22.9,NORWEGIAN_ENCORE_0112,333.44,169116,13332,,,,,45
139,8/17/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-08-17 06:05:35-08:00,2023-08-17 14:50:01-08:00,14.756,300.82,2023-08-18 05:35:24-08:00,18.38249497,23.3,NORWEGIAN_ENCORE_0120,333.44,169116,13332,,,,,45
140,8/24/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-08-24 06:02:41-08:00,2023-08-24 14:48:50-08:00,14.861,300.96,2023-08-25 05:40:29-08:00,18.6195122,24.2,NORWEGIAN_ENCORE_0128,333.44,169116,13332,,,,,45
141,8/31/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-08-31 06:01:12-08:00,2023-08-31 14:58:30-08:00,14.954,301.91,2023-09-01 05:55:45-08:00,18.27239488,23.9,NORWEGIAN_ENCORE_0136,333.44,169116,13332,,,,,45
142,9/7/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-09-07 06:22:57-08:00,2023-09-07 14:16:41-08:00,14.253,298.37,2023-09-08 04:31:53-08:00,19.05817805,23.7,NORWEGIAN_ENCORE_0146,333.44,169116,13332,,,,,45
143,9/14/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-09-14 06:39:26-08:00,2023-09-14 14:47:12-08:00,14.937,299.38,2023-09-15 05:43:25-08:00,18.38403194,25,NORWEGIAN_ENCORE_0154,333.44,169116,13332,,,,,45
144,9/21/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Juneau,2023-09-21 06:51:01-08:00,2023-09-21 14:50:10-08:00,14.913,298.8,2023-09-22 05:44:58-08:00,18.45591182,23.4,NORWEGIAN_ENCORE_0160,333.44,169116,13332,,,,,45
145,9/28/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-09-28 07:05:56-08:00,2023-09-28 15:04:38-08:00,14.667,301.34,2023-09-29 05:44:40-08:00,18.75676768,24.3,NORWEGIAN_ENCORE_0170,333.44,169116,13332,,,,,45
146,10/5/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-10-05 07:25:25-08:00,2023-10-05 15:16:18-08:00,15.062,300.45,2023-10-06 06:20:02-08:00,18.18307087,23.8,NORWEGIAN_ENCORE_0178,333.44,169116,13332,,,,,45
147,10/12/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-10-12 07:36:14-08:00,2023-10-12 15:19:09-08:00,15.416,300.75,2023-10-13 06:44:07-08:00,17.99521452,22.9,NORWEGIAN_ENCORE_0186,333.44,169116,13332,,,,,45
148,10/19/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-10-19 07:49:18-08:00,2023-10-19 16:00:01-08:00,14.496,302.04,2023-10-20 06:29:45-08:00,19.07232824,24,NORWEGIAN_ENCORE_0194,333.44,169116,13332,,,,,45
149,10/26/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-10-26 08:04:12-08:00,2023-10-26 15:38:53-08:00,14.799,300.75,2023-10-27 06:26:51-08:00,18.21145631,24.7,NORWEGIAN_ENCORE_0202,333.44,169116,13332,,,,,45
61,5/11/23,GRAND PRINCESS,310327000,9104005,College Fjord,Skagway,2023-05-11 06:23:56-08:00,2023-05-11 15:15:33-08:00,25.988,466.25,2023-05-12 17:14:51-08:00,16.74795417,20,GRAND_PRINCESS_0012,289.52,108806,8418,3300,3300,,,36
