         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4373    0.007    0.000    0.053    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:7106(_maybe_cast_data_without_dtype)
    16431    0.007    0.000    0.025    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:332(getitem_block_columns)
    13130    0.007    0.000    0.019    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1274(is_bool_dtype)
     8551    0.007    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/common.py:229(asarray_tuplesafe)
     3546    0.007    0.000    0.115    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:341(_from_sequence_not_strict)
    55632    0.007    0.000    0.025    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/base.py:55(<genexpr>)
    20615    0.007    0.000    0.032    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:497(is_categorical_dtype)
     7639    0.007    0.000    0.007    0.000 {built-in method numpy.arange}
     7092    0.007    0.000    0.007    0.000 {function DatetimeLikeArrayMixin.copy at 0x111ef41f0}
    18913    0.007    0.000    0.021    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/cast.py:468(maybe_promote)
    67671    0.007    0.000    0.007    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:145(classes)
     1835    0.007    0.000    0.037    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:253(apply)
    26460    0.007    0.000    0.033    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:379(extract_array)
