,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
146,2023-09-24 08:09:35,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.786685,-135.16673667,169.1,11.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
147,2023-09-24 08:14:44,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.77150333,-135.161105,169.1,10.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
148,2023-09-24 08:19:46,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.75693333,-135.15587667,169.9,10.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
149,2023-09-24 08:24:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.742045,-135.15054167,169.0,10.5,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
150,2023-09-24 08:29:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.72775,-135.14518667,169.1,10.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
151,2023-09-24 08:35:04,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.71327,-135.13975333,169.0,10.3,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
152,2023-09-24 08:40:06,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.699225,-135.13465167,169.7,10.2,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
153,2023-09-24 08:45:14,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.68502,-135.129615,169.4,10.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
154,2023-09-24 08:50:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.67124167,-135.12456,169.1,10.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
155,2023-09-24 08:55:24,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.657055,-135.11957333,170.0,10.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
156,2023-09-24 09:00:24,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.64321667,-135.114935,170.3,10.2,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
157,2023-09-24 09:05:34,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.62883833,-135.11029333,170.7,10.2,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
158,2023-09-24 09:10:34,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.61479167,-135.10601833,171.2,10.3,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
159,2023-09-24 09:15:35,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.60055833,-135.10196,171.8,10.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
160,2023-09-24 09:20:45,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.58577,-135.09785167,172.0,10.5,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
161,2023-09-24 09:23:45,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.57721333,-135.09536333,169.7,10.5,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
162,2023-09-24 09:28:54,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.56257667,-135.08999167,169.1,10.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
163,2023-09-24 09:33:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.54838667,-135.08484833,169.1,10.3,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
164,2023-09-24 09:38:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.534475,-135.07931333,168.2,10.3,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
165,2023-09-24 09:43:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.52032333,-135.07389833,168.8,10.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
