bs_ts,name,mmsi,destination,heading,lat,lon,cog,sog,nav_status,imo,callsign,Type of ship
2008-08-19T19:27:23,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70573167,-147.0913917,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:19,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70609333,-147.0916183,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:19,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70609333,-147.0916183,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:15,ISLAND PRINCESS,310384000,GLACIER BAY,161,60.70653167,-147.09189,162.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:13,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70703833,-147.0922067,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:11,ISLAND PRINCESS,310384000,GLACIER BAY,161,60.70653167,-147.09189,162.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:10,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70703833,-147.0922067,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:05,ISLAND PRINCESS,310384000,GLACIER BAY,161,60.70746833,-147.0924717,162.7,16.7,0,9230402,ZCDG4,16
2008-08-19T19:26:59,ISLAND PRINCESS,310384000,GLACIER BAY,161,60.70746833,-147.0924717,162.7,16.7,0,9230402,ZCDG4,16
2008-08-19T19:26:53,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70792,-147.0927533,163.3,16.7,0,9230402,ZCDG4,16
2008-08-19T19:26:49,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.708275,-147.0929767,163.7,16.7,0,9230402,ZCDG4,16
2008-08-19T19:26:49,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.708275,-147.0929767,163.7,16.7,0,9230402,ZCDG4,16
2008-08-19T19:26:44,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.708795,-147.093295,163.7,16.6,0,9230402,ZCDG4,16
