bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-09-13T20:45:54,MILLENNIUM,HUBBARD GLACIER,59.60656667,-139.9601333,87,87.4,13.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:48,MILLENNIUM,HUBBARD GLACIER,59.60653333,-139.96115,87,85.7,13.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:43,MILLENNIUM,HUBBARD GLACIER,59.6065,-139.96165,87,85.7,14.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:36,MILLENNIUM,HUBBARD GLACIER,59.60648333,-139.96255,87,85.7,14.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:30,MILLENNIUM,HUBBARD GLACIER,59.60646667,-139.9631833,87,88.2,14.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:24,MILLENNIUM,HUBBARD GLACIER,59.60643333,-139.9642333,87,85.0,14.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:18,MILLENNIUM,HUBBARD GLACIER,59.6064,-139.9648833,87,87.7,14.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:12,MILLENNIUM,HUBBARD GLACIER,59.60638333,-139.9656333,87,86.2,14.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:06,MILLENNIUM,HUBBARD GLACIER,59.60635,-139.9662833,87,86.2,14.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:45:00,MILLENNIUM,HUBBARD GLACIER,59.60633333,-139.9674,87,87.7,14.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:54,MILLENNIUM,HUBBARD GLACIER,59.60631667,-139.9680667,87,85.0,14.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:48,MILLENNIUM,HUBBARD GLACIER,59.60628333,-139.9690167,87,87.7,14.8,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:43,MILLENNIUM,HUBBARD GLACIER,59.60626667,-139.9696833,87,88.1,15.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:36,MILLENNIUM,HUBBARD GLACIER,59.60625,-139.97065,87,86.6,15.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:24,MILLENNIUM,HUBBARD GLACIER,59.60621667,-139.9723,87,88.5,15.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:18,MILLENNIUM,HUBBARD GLACIER,59.60618333,-139.973,87,85.8,15.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:13,MILLENNIUM,HUBBARD GLACIER,59.60615,-139.9737833,87,86.6,15.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:06,MILLENNIUM,HUBBARD GLACIER,59.60613333,-139.9746667,87,87.7,15.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:44:00,MILLENNIUM,HUBBARD GLACIER,59.60611667,-139.9755,87,87.0,15.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:54,MILLENNIUM,HUBBARD GLACIER,59.60608333,-139.97635,87,87.0,15.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:48,MILLENNIUM,HUBBARD GLACIER,59.60605,-139.9772,87,87.3,15.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:43,MILLENNIUM,HUBBARD GLACIER,59.60603333,-139.9778833,87,86.7,15.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:36,MILLENNIUM,HUBBARD GLACIER,59.60601667,-139.9789167,87,86.2,15.8,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:24,MILLENNIUM,HUBBARD GLACIER,59.60596667,-139.9808,86,87.3,16.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:18,MILLENNIUM,HUBBARD GLACIER,59.60593333,-139.9815333,87,86.6,16.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:13,MILLENNIUM,HUBBARD GLACIER,59.6059,-139.9822167,86,87.0,16.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:06,MILLENNIUM,HUBBARD GLACIER,59.60588333,-139.9831,87,88.0,16.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:43:00,MILLENNIUM,HUBBARD GLACIER,59.60586667,-139.9841833,86,85.6,16.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:54,MILLENNIUM,HUBBARD GLACIER,59.60583333,-139.9850833,87,87.0,16.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:48,MILLENNIUM,HUBBARD GLACIER,59.60581667,-139.9861167,87,87.6,16.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:42,MILLENNIUM,HUBBARD GLACIER,59.60578333,-139.9868667,87,87.3,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:36,MILLENNIUM,HUBBARD GLACIER,59.60576667,-139.9877667,87,88.0,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:30,MILLENNIUM,HUBBARD GLACIER,59.60575,-139.9886667,87,87.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:24,MILLENNIUM,HUBBARD GLACIER,59.60573333,-139.9895833,87,88.0,16.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:18,MILLENNIUM,HUBBARD GLACIER,59.6057,-139.9904833,87,87.3,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:12,MILLENNIUM,HUBBARD GLACIER,59.60568333,-139.9912,87,87.6,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:07,MILLENNIUM,HUBBARD GLACIER,59.60566667,-139.9923,87,87.3,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:42:00,MILLENNIUM,HUBBARD GLACIER,59.60565,-139.9932167,87,87.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:54,MILLENNIUM,HUBBARD GLACIER,59.60563333,-139.9939333,87,89.0,16.8,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:48,MILLENNIUM,HUBBARD GLACIER,59.60561667,-139.99485,87,87.6,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:42,MILLENNIUM,HUBBARD GLACIER,59.6056,-139.9957667,87,87.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:36,MILLENNIUM,HUBBARD GLACIER,59.60558333,-139.9968667,87,88.0,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:31,MILLENNIUM,HUBBARD GLACIER,59.60556667,-139.9975833,87,86.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:24,MILLENNIUM,HUBBARD GLACIER,59.60555,-139.9986833,87,88.7,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:20,MILLENNIUM,HUBBARD GLACIER,59.60553333,-139.99975,0,0.0,0.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:18,MILLENNIUM,HUBBARD GLACIER,59.60553333,-139.99975,87,87.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:12,MILLENNIUM,HUBBARD GLACIER,59.60551667,-140.0005,88,88.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:06,MILLENNIUM,HUBBARD GLACIER,59.6055,-140.0015667,88,88.6,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:41:00,MILLENNIUM,HUBBARD GLACIER,59.60548333,-140.0023333,88,88.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:54,MILLENNIUM,HUBBARD GLACIER,59.60546667,-140.0032333,87,87.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:48,MILLENNIUM,HUBBARD GLACIER,59.60543333,-140.0042833,87,87.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:42,MILLENNIUM,HUBBARD GLACIER,59.60541667,-140.0050667,87,87.0,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:36,MILLENNIUM,HUBBARD GLACIER,59.6054,-140.0059667,87,87.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:31,MILLENNIUM,HUBBARD GLACIER,59.60538333,-140.0068833,87,87.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:24,MILLENNIUM,HUBBARD GLACIER,59.60535,-140.0077833,87,86.6,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:18,MILLENNIUM,HUBBARD GLACIER,59.60533333,-140.0087,87,88.7,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:12,MILLENNIUM,HUBBARD GLACIER,59.60531667,-140.0094333,87,87.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:06,MILLENNIUM,HUBBARD GLACIER,59.60528333,-140.0106667,87,87.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:40:01,MILLENNIUM,HUBBARD GLACIER,59.60528333,-140.0112333,87,89.7,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:55,MILLENNIUM,HUBBARD GLACIER,59.60525,-140.01215,87,85.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:48,MILLENNIUM,HUBBARD GLACIER,59.60521667,-140.0132167,87,87.6,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:42,MILLENNIUM,HUBBARD GLACIER,59.6052,-140.0139667,87,87.3,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:36,MILLENNIUM,HUBBARD GLACIER,59.60518333,-140.01505,87,87.3,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:30,MILLENNIUM,HUBBARD GLACIER,59.60515,-140.01595,87,87.3,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:24,MILLENNIUM,HUBBARD GLACIER,59.60513333,-140.0168833,87,87.6,16.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:18,MILLENNIUM,HUBBARD GLACIER,59.60511667,-140.0178,87,87.3,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:12,MILLENNIUM,HUBBARD GLACIER,59.6051,-140.0187,87,87.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:06,MILLENNIUM,HUBBARD GLACIER,59.60506667,-140.0197667,87,87.0,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:39:01,MILLENNIUM,HUBBARD GLACIER,59.60505,-140.0203333,87,86.6,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:54,MILLENNIUM,HUBBARD GLACIER,59.60505,-140.0212333,87,88.7,16.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:38:48,MILLENNIUM,HUBBARD GLACIER,59.605,-140.0224833,87,85.6,16.6,0,9189419.0,9HJF9,249055000,16.0
